step,train_acts_billions,train_loss
5930,0.024289,1.1434
5953,0.024383,1.1392
5977,0.024482,1.1367
5999,0.024572,1.1357
6023,0.02467,1.1397
6046,0.024764,1.1395
6069,0.024859,1.1492
6092,0.024953,1.1411
6116,0.025051,1.1342
6140,0.025149,1.1339
6164,0.025248,1.1354
6188,0.025346,1.1333
6211,0.02544,1.1224
6234,0.025534,1.1448
6257,0.025629,1.129
6281,0.025727,1.129
6305,0.025825,1.1327
6327,0.025915,1.1445
6351,0.026014,1.1282
6375,0.026112,1.1462
6398,0.026206,1.1305
6421,0.0263,1.1358
6446,0.026403,1.1365
6470,0.026501,1.1453
6493,0.026595,1.1398
6517,0.026694,1.1264
6541,0.026792,1.1409
6565,0.02689,1.128
6589,0.026989,1.1259
6613,0.027087,1.1269
6637,0.027185,1.1293
6662,0.027288,1.1323
6686,0.027386,1.1342
6708,0.027476,1.118
6732,0.027574,1.1316
6756,0.027673,1.1335
6779,0.027767,1.1248
6803,0.027865,1.1356
6828,0.027967,1.1294
6851,0.028062,1.1353
6875,0.02816,1.1353
6899,0.028258,1.1218
6923,0.028357,1.1277
6946,0.028451,1.125
6970,0.028549,1.1347
6994,0.028647,1.1465
7018,0.028746,1.1199
7042,0.028844,1.1169
7065,0.028938,1.122
7088,0.029032,1.1179
7111,0.029127,1.1212
7135,0.029225,1.1195
7159,0.029323,1.1162
7183,0.029422,1.1141
7207,0.02952,1.1332
7231,0.029618,1.127
7255,0.029716,1.1215
7277,0.029807,1.1196
7301,0.029905,1.12
7324,0.029999,1.1184
7346,0.030089,1.1145
7369,0.030183,1.1207
7392,0.030278,1.1247
7416,0.030376,1.1254
7439,0.03047,1.1136
7463,0.030568,1.1222
7487,0.030667,1.1119
7511,0.030765,1.1168
7535,0.030863,1.122
7558,0.030958,1.1185
7582,0.031056,1.1237
7606,0.031154,1.1192
7629,0.031248,1.1118
7652,0.031343,1.1092
7676,0.031441,1.1086
7699,0.031535,1.1218
7723,0.031633,1.1127
7747,0.031732,1.1269
7770,0.031826,1.1259
7794,0.031924,1.1074
7812,0.031998,1.108
7818,0.032023,1.1021
7841,0.032117,1.1142
7865,0.032215,1.1125
7888,0.032309,1.1166
7912,0.032408,1.1261
7936,0.032506,1.1114
7961,0.032608,1.114
7985,0.032707,1.1136
8008,0.032801,1.1066
8032,0.032899,1.1212
8056,0.032997,1.1164
8079,0.033092,1.1263
8103,0.03319,1.1177
8127,0.033288,1.1095
8151,0.033386,1.1084
8175,0.033485,1.1173
8199,0.033583,1.1004
8222,0.033677,1.1051
8245,0.033772,1.1184
8268,0.033866,1.1191
8291,0.03396,1.1086
8314,0.034054,1.1079
8339,0.034157,1.1018
8362,0.034251,1.1107
8385,0.034345,1.1112
8409,0.034443,1.1121
8431,0.034533,1.1061
8455,0.034632,1.1104
8479,0.03473,1.1106
8503,0.034828,1.1004
8526,0.034922,1.1052
8550,0.035021,1.1058
8573,0.035115,1.11
8596,0.035209,1.105
8619,0.035303,1.118
8643,0.035402,1.1054
8667,0.0355,1.1039
8691,0.035598,1.1094
8715,0.035697,1.1029
8738,0.035791,1.1052
8761,0.035885,1.1034
8785,0.035983,1.0986
8809,0.036082,1.106
8833,0.03618,1.1107
8856,0.036274,1.1031
8880,0.036372,1.1019
8903,0.036467,1.1012
8927,0.036565,1.0991
8950,0.036659,1.1047
8974,0.036758,1.1102
8997,0.036852,1.0921
9021,0.03695,1.0999
9044,0.037044,1.0907
9067,0.037138,1.1057
9090,0.037233,1.1004
9114,0.037331,1.0992
9137,0.037425,1.1071
9160,0.037519,1.1062
9184,0.037618,1.0981
9207,0.037712,1.1164
9231,0.03781,1.1064
9255,0.037908,1.1108
9279,0.038007,1.0939
9302,0.038101,1.0921
9325,0.038195,1.0942
9349,0.038294,1.1033
9372,0.038388,1.1048
9397,0.03849,1.0926
9420,0.038584,1.1018
9443,0.038679,1.1044
9468,0.038781,1.0991
9492,0.038879,1.1004
9516,0.038978,1.1086
9540,0.039076,1.0912
9564,0.039174,1.0919
9587,0.039268,1.1016
9611,0.039367,1.0945
9635,0.039465,1.097
9659,0.039563,1.0916
9683,0.039662,1.1007
9706,0.039756,1.0966
9729,0.03985,1.0961
9753,0.039948,1.0981
9778,0.040051,1.0922
9801,0.040145,1.0893
9824,0.040239,1.0941
9848,0.040337,1.0966
9871,0.040432,1.0917
9895,0.04053,1.0866
9919,0.040628,1.103
9942,0.040722,1.0978
9964,0.040813,1.0968
9987,0.040907,1.0939
10011,0.041005,1.0959
10034,0.041099,1.0983
10057,0.041193,1.0935
10080,0.041288,1.0877
10104,0.041386,1.0944
10128,0.041484,1.094
10151,0.041578,1.096
10175,0.041677,1.0806
10199,0.041775,1.0944
10223,0.041873,1.0874
10246,0.041968,1.0952
10269,0.042062,1.0743
10293,0.04216,1.084
10317,0.042258,1.0964
10341,0.042357,1.0845
10365,0.042455,1.0944
10388,0.042549,1.0892
10412,0.042648,1.0878
10435,0.042742,1.0859
10459,0.04284,1.086
10482,0.042934,1.0894
10506,0.043033,1.0937
10529,0.043127,1.0967
10554,0.043229,1.0876
10578,0.043327,1.0914
10602,0.043426,1.0852
10625,0.04352,1.0879
10650,0.043622,1.0815
10673,0.043717,1.091
10697,0.043815,1.0821
10720,0.043909,1.0781
10744,0.044007,1.0849
10767,0.044102,1.0791
10791,0.0442,1.0866
10814,0.044294,1.0877
10837,0.044388,1.0861
10861,0.044487,1.0896
10885,0.044585,1.0769
10908,0.044679,1.0791
10932,0.044777,1.0854
10955,0.044872,1.0856
10980,0.044974,1.078
11004,0.045072,1.1013
11027,0.045167,1.084
11051,0.045265,1.0859
11075,0.045363,1.0882
11099,0.045462,1.0852
11123,0.04556,1.0939
11147,0.045658,1.0912
11172,0.045761,1.0958
11195,0.045855,1.0802
11219,0.045953,1.0776
11243,0.046051,1.0857
11267,0.04615,1.0746
11291,0.046248,1.0772
11314,0.046342,1.0833
11338,0.04644,1.0833
11360,0.046531,1.0891
11384,0.046629,1.0809
11408,0.046727,1.0773
11432,0.046825,1.0772
11456,0.046924,1.0842
11479,0.047018,1.0641
11502,0.047112,1.0822
11526,0.04721,1.0845
11550,0.047309,1.0767
11574,0.047407,1.0907
11597,0.047501,1.0768
11621,0.0476,1.0671
11644,0.047694,1.0782
11668,0.047792,1.0636
11692,0.04789,1.0786
11716,0.047989,1.0771
11739,0.048083,1.0838
11764,0.048185,1.0766
11787,0.04828,1.0795
11810,0.048374,1.0819
11835,0.048476,1.0686
11859,0.048574,1.077
11883,0.048673,1.08
11906,0.048767,1.0879
11930,0.048865,1.0853
11952,0.048955,1.071
11977,0.049058,1.0769
12001,0.049156,1.0821
12023,0.049246,1.0717
12048,0.049349,1.0714
12072,0.049447,1.0863
12095,0.049541,1.0763
12119,0.049639,1.0725
12143,0.049738,1.0666
12166,0.049832,1.0784
12190,0.04993,1.0726
12214,0.050029,1.0675
12238,0.050127,1.0801
12260,0.050217,1.0792
12283,0.050311,1.0702
12306,0.050405,1.0763
12331,0.050508,1.0731
12354,0.050602,1.0655
12379,0.050704,1.0803
12402,0.050799,1.0633
12425,0.050893,1.0663
12450,0.050995,1.0755
12473,0.051089,1.0646
12496,0.051184,1.0859
12519,0.051278,1.0819
12542,0.051372,1.0926
12566,0.05147,1.0748
12590,0.051569,1.0837
12614,0.051667,1.0813
12638,0.051765,1.0666
12662,0.051864,1.0761
12684,0.051954,1.0675
12708,0.052052,1.0654
12732,0.05215,1.0716
12754,0.05224,1.0688
12778,0.052339,1.0653
12802,0.052437,1.0821
12827,0.052539,1.0678
12849,0.05263,1.0662
12873,0.052728,1.0664
12895,0.052818,1.0621
12919,0.052916,1.0657
12943,0.053015,1.0736
12967,0.053113,1.0638
12991,0.053211,1.0604
13014,0.053305,1.0609
13037,0.0534,1.0688
13060,0.053494,1.0756
13085,0.053596,1.065
13109,0.053694,1.0642
13132,0.053789,1.0681
13156,0.053887,1.0669
13180,0.053985,1.0733
13204,0.054084,1.0757
13228,0.054182,1.0615
13252,0.05428,1.0631
13276,0.054378,1.0639
13300,0.054477,1.0617
13323,0.054571,1.066
13347,0.054669,1.0699
13371,0.054768,1.0716
13395,0.054866,1.0616
13419,0.054964,1.0634
13442,0.055058,1.0671
13466,0.055157,1.0787
13490,0.055255,1.0737
13513,0.055349,1.0584
13537,0.055448,1.0659
13561,0.055546,1.0608
13584,0.05564,1.0683
13608,0.055738,1.0555
13632,0.055837,1.0628
13657,0.055939,1.0616
13680,0.056033,1.0561
13704,0.056132,1.0672
13727,0.056226,1.0566
13752,0.056328,1.0608
13776,0.056426,1.0519
13799,0.056521,1.0733
13822,0.056615,1.0723
13845,0.056709,1.0562
13869,0.056807,1.0518
13893,0.056906,1.0655
13917,0.057004,1.062
13940,0.057098,1.0587
13964,0.057197,1.0581
13988,0.057295,1.0631
14012,0.057393,1.058
14035,0.057487,1.0608
14058,0.057582,1.0612
